Team,FG,FGA,2PA,3P,3PA,DRB,PTS,Pace,ORtg,eFG%,TS%,TOV%
LAL,40.7,88.4,59.3,10.0,29.1,35.7,108.1,100.3,106.5,0.517,0.548,13.8
ORL,39.5,86.8,64.7,7.8,22.2,33.0,102.1,96.0,105.1,0.5,0.533,12.8
PHI,37.4,83.6,69.0,5.3,14.6,32.5,93.6,89.7,103.9,0.48,0.511,10.9
MIL,34.3,79.8,62.6,5.9,17.2,30.2,91.9,89.8,101.6,0.467,0.511,13.0
ORL,40.5,86.3,55.2,10.8,31.1,33.1,111.4,99.3,111.6,0.532,0.573,13.4
SAS,43.2,92.7,60.7,11.3,32.0,34.3,113.2,100.0,112.4,0.527,0.556,11.1
IND,43.3,91.2,57.3,12.3,34.0,33.7,115.3,101.6,112.4,0.542,0.575,11.9
WAS,43.2,90.9,61.9,10.2,29.0,35.5,116.6,104.1,111.2,0.531,0.569,12.3
MEM,42.5,90.9,59.4,10.9,31.5,36.2,112.6,102.8,109.2,0.528,0.561,13.2
PHO,41.2,88.1,56.3,11.4,31.8,33.8,113.6,101.3,111.7,0.532,0.576,13.0
NOP,39.1,87.0,60.2,9.4,26.8,35.1,104.3,98.0,105.2,0.504,0.539,11.7
NOP,37.8,82.5,66.6,5.9,15.9,30.3,99.7,92.2,107.2,0.495,0.537,12.9
PHI,37.3,84.1,66.5,6.3,17.5,30.4,93.2,91.0,102.0,0.481,0.509,12.5
TOR,36.3,81.5,61.2,7.0,20.3,29.6,97.2,90.4,105.9,0.488,0.532,13.0
HOU,37.7,84.0,63.8,7.2,20.2,30.5,98.1,91.7,105.5,0.492,0.529,13.5
CHA,35.0,77.6,63.0,4.8,14.7,29.8,93.3,89.6,103.4,0.482,0.528,14.1
POR,40.5,85.4,50.1,12.9,35.3,31.1,113.4,98.6,114.8,0.549,0.589,13.1
LAL,41.6,88.8,54.3,12.0,34.5,34.5,112.1,100.1,110.3,0.537,0.567,12.8
CHO,39.9,87.8,50.8,13.7,37.0,33.2,109.5,98.3,110.9,0.532,0.564,13.3
SAS,41.9,90.5,62.1,9.9,28.4,34.6,111.1,98.9,111.0,0.517,0.554,10.2
