Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
138,2014-15,OKC,45,82,45,37,.549,2.18,0.28,2.47,95.7,107.8,105.5,.492,.532,13.1,28.9,.284,.489,.529,12.4,24.4,.286
139,2012-13,CHI,45,82,45,37,.549,0.32,-0.33,-0.02,89.3,103.5,103.2,.470,.512,13.6,29.4,.259,.477,.517,13.2,26.4,.278
140,2012-13,HOU,45,82,45,37,.549,3.48,0.22,3.69,96.1,109.7,106.1,.525,.564,14.9,26.4,.308,.502,.540,13.5,24.8,.253
141,2012-13,LAL,45,82,45,37,.549,1.16,0.32,1.48,94.4,107.8,106.6,.512,.548,13.9,27.0,.345,.496,.526,11.9,25.7,.222
142,2022-23,MIA,44,82,44,38,.537,-0.32,0.18,-0.13,96.3,113.0,113.3,.530,.574,12.4,22.8,.270,.561,.594,14.5,22.3,.253
143,2022-23,LAC,44,82,44,38,.537,0.50,-0.19,0.31,98.0,115.0,114.5,.551,.588,12.8,22.9,.278,.543,.576,11.7,23.4,.253
144,2022-23,GSW,44,82,44,38,.537,1.80,-0.15,1.66,101.6,116.1,114.4,.571,.600,14.1,24.4,.224,.540,.576,12.3,24.0,.278
145,2021-22,BRK,44,82,44,38,.537,0.78,0.04,0.82,99.0,113.6,112.8,.540,.576,12.5,23.9,.246,.521,.559,11.7,24.9,.255
146,2021-22,CLE,44,82,44,38,.537,2.12,-0.08,2.04,96.1,111.9,109.7,.538,.571,13.2,24.0,.261,.520,.552,12.3,23.5,.223
147,2019-20,MIA,44,73,44,29,.603,2.95,-0.35,2.59,98.3,112.5,109.5,.547,.587,13.5,20.3,.299,.523,.562,12.6,20.5,.272
148,2019-20,UTA,44,72,44,28,.611,2.47,0.05,2.52,98.6,112.3,109.9,.549,.585,13.7,21.6,.268,.518,.552,11.1,21.1,.241
149,2019-20,OKC,44,72,44,28,.611,1.99,0.34,2.33,98.8,110.8,108.8,.530,.573,12.4,19.3,.290,.518,.552,12.6,23.2,.218
150,2019-20,HOU,44,72,44,28,.611,2.96,0.17,3.13,103.7,112.9,110.1,.537,.578,12.6,21.0,.288,.529,.563,13.7,24.4,.259
151,2017-18,MIL,44,82,44,38,.537,-0.30,-0.15,-0.45,96.2,109.8,110.1,.531,.571,12.9,20.4,.281,.528,.568,14.2,24.1,.281
152,2017-18,MIA,44,82,44,38,.537,0.48,-0.33,0.15,95.6,106.8,106.3,.520,.551,13.3,21.5,.229,.507,.548,13.1,21.0,.274
153,2015-16,DET,44,82,44,38,.537,0.61,-0.18,0.43,95.1,106.1,105.5,.491,.522,12.2,27.0,.296,.504,.542,12.5,20.7,.250
154,2015-16,POR,44,82,44,38,.537,0.83,0.15,0.98,96.0,108.8,108.0,.511,.548,13.2,25.9,.268,.503,.543,12.1,23.8,.307
155,2013-14,BRK,44,82,44,38,.537,-1.00,-0.58,-1.58,91.4,106.7,107.7,.514,.555,14.1,21.7,.313,.509,.551,14.9,27.7,.311
156,2013-14,WAS,44,82,44,38,.537,1.27,-0.79,0.48,93.2,106.0,104.6,.506,.538,13.6,25.2,.248,.504,.545,15.0,24.3,.288
157,2012-13,ATL,44,82,44,38,.537,0.40,-0.48,-0.08,92.6,104.8,104.4,.517,.546,14.2,22.2,.244,.496,.531,14.2,26.4,.237
158,2010-11,ATL,44,82,44,38,.537,-0.82,-0.28,-1.10,89.3,106.1,107.0,.501,.542,13.5,23.4,.269,.495,.537,12.3,25.4,.273
159,2022-23,LAL,43,82,43,39,.524,0.57,-0.15,0.43,101.3,114.5,113.9,.542,.582,12.3,22.8,.299,.535,.566,10.9,23.7,.222
160,2021-22,ATL,43,82,43,39,.524,1.56,-0.01,1.55,97.7,116.5,114.9,.543,.581,10.8,23.0,.253,.543,.575,11.5,23.1,.224
161,2021-22,CHO,43,82,43,39,.524,0.44,0.09,0.53,100.0,114.1,113.7,.544,.572,11.6,23.3,.234,.544,.575,13.1,25.2,.246
162,2019-20,DAL,43,75,43,32,.573,4.95,-0.07,4.87,99.3,116.7,111.7,.545,.581,11.2,23.2,.264,.525,.556,10.6,22.3,.230
163,2019-20,PHI,43,73,43,30,.589,2.38,-0.13,2.25,99.0,111.3,109.0,.534,.566,12.7,23.9,.255,.523,.560,12.5,19.7,.285
164,2017-18,WAS,43,82,43,39,.524,0.59,-0.06,0.53,96.6,109.3,108.7,.525,.560,13.3,23.5,.254,.522,.560,13.6,22.9,.279
165,2016-17,ATL,43,82,43,39,.524,-0.85,-0.38,-1.23,97.4,104.9,105.7,.504,.541,14.2,23.6,.295,.507,.541,13.8,23.9,.232
166,2016-17,MEM,43,82,43,39,.524,0.49,0.47,0.96,92.3,107.7,107.1,.491,.535,12.1,24.8,.280,.506,.551,13.6,22.5,.341
167,2013-14,CHA,43,82,43,39,.524,-0.22,-0.67,-0.89,92.4,103.6,103.8,.481,.522,11.7,21.9,.297,.491,.526,12.6,22.4,.241
