Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
135,MIN,2021-12-15,.642,@,DEN,W 124-107,125.3,.182,.545,.652,.642,.125,108.1,.274,.464,.568,.536,.202
136,MIA,2021-10-30,.642,@,MEM,W 129-103,129.0,.216,.420,.669,.642,.182,103.0,.239,.568,.530,.477,.216
137,CHI,2022-01-11,.641,,DET,W 133-87,130.8,.207,.370,.663,.641,.163,85.5,.303,.393,.431,.371,.236
138,BOS,2022-02-24,.641,@,BRK,W 129-106,125.6,.318,.494,.666,.641,.235,103.2,.298,.309,.498,.452,.223
139,PHO,2022-01-04,.641,@,NOP,W 123-110,126.2,.235,.365,.656,.641,.165,112.8,.360,.371,.534,.461,.315
140,POR,2021-12-17,.641,,CHO,W 125-116,125.7,.212,.553,.673,.641,.188,116.6,.196,.402,.580,.549,.163
141,HOU,2021-12-20,.641,@,CHI,L 118-133,125.2,.308,.423,.666,.641,.231,141.1,.273,.398,.675,.625,.261
142,CHO,2022-04-10,.640,,WAS,W 124-108,126.9,.157,.371,.652,.640,.112,110.5,.277,.245,.512,.489,.170
143,MIA,2022-04-02,.640,@,CHI,W 127-109,136.6,.329,.415,.676,.640,.268,117.2,.337,.395,.552,.483,.302
144,PHI,2022-03-04,.640,,CLE,W 125-119,132.8,.427,.440,.702,.640,.387,126.5,.293,.341,.643,.598,.256
145,LAC,2022-03-03,.640,,LAL,W 132-111,138.0,.161,.290,.663,.640,.140,116.0,.262,.417,.592,.560,.202
146,PHO,2021-11-26,.639,@,NYK,W 118-97,122.6,.266,.354,.669,.639,.215,100.8,.239,.424,.477,.435,.185
147,DET,2021-11-13,.639,@,TOR,W 127-121,134.6,.380,.443,.689,.639,.329,128.3,.356,.391,.601,.580,.230
148,WAS,2022-04-01,.639,,DAL,W 135-103,138.7,.244,.367,.677,.639,.222,105.9,.333,.487,.576,.506,.308
149,DAL,2022-01-07,.639,@,HOU,W 130-106,124.7,.311,.422,.635,.639,.167,101.7,.333,.494,.531,.494,.230
150,NYK,2022-03-23,.639,@,CHO,W 121-106,134.5,.205,.542,.669,.639,.181,117.8,.191,.517,.549,.545,.101
151,DEN,2022-03-22,.639,,LAC,W 127-115,134.0,.277,.386,.682,.639,.253,121.3,.302,.372,.590,.547,.244
152,MIA,2022-02-26,.639,,SAS,W 133-129,126.7,.458,.337,.667,.639,.325,122.9,.211,.344,.656,.633,.167
153,CHI,2021-12-27,.638,@,ATL,W 130-118,134.1,.149,.394,.649,.638,.106,121.8,.292,.382,.587,.534,.258
154,CHI,2021-12-26,.638,,IND,W 113-105,116.6,.289,.303,.659,.638,.211,108.4,.223,.319,.509,.479,.160
155,ATL,2022-04-10,.638,@,HOU,W 130-114,137.4,.276,.437,.666,.638,.218,120.5,.225,.517,.583,.556,.169
156,IND,2022-01-08,.638,,UTA,W 125-113,129.7,.400,.363,.664,.638,.288,117.2,.226,.417,.612,.565,.214
157,ATL,2022-03-30,.637,@,OKC,W 136-118,129.5,.242,.429,.675,.637,.220,112.4,.310,.471,.597,.569,.218
158,BOS,2022-04-10,.636,@,MEM,W 139-110,136.2,.131,.485,.664,.636,.131,107.8,.265,.461,.483,.456,.167
159,DAL,2022-01-26,.636,@,POR,W 132-112,133.8,.295,.409,.664,.636,.227,113.5,.280,.463,.608,.598,.171
160,CHO,2021-12-27,.636,,HOU,W 123-99,122.4,.159,.466,.653,.636,.125,98.5,.207,.529,.521,.500,.138
161,NYK,2021-10-22,.636,@,ORL,W 121-96,124.4,.193,.614,.634,.636,.102,98.7,.181,.518,.536,.500,.157
162,CLE,2022-04-02,.636,@,NYK,W 119-101,129.2,.259,.420,.659,.636,.198,109.6,.442,.390,.549,.487,.338
163,GSW,2022-03-03,.636,@,DAL,L 113-122,124.3,.160,.370,.652,.636,.123,134.2,.235,.435,.650,.629,.176
164,NYK,2021-10-30,.636,@,NOP,W 123-117,126.0,.309,.407,.668,.636,.247,119.9,.261,.359,.570,.516,.239
165,DEN,2022-02-08,.635,,NYK,W 132-115,134.8,.365,.459,.669,.635,.282,117.5,.119,.426,.541,.520,.099
166,POR,2022-01-23,.635,@,TOR,W 114-105,113.2,.153,.376,.628,.635,.071,104.3,.143,.551,.504,.490,.092
167,ATL,2021-11-15,.635,,ORL,W 129-111,127.6,.376,.353,.651,.635,.247,109.8,.147,.453,.549,.537,.095
168,UTA,2021-11-29,.635,,POR,W 129-107,138.6,.258,.517,.651,.635,.180,115.0,.187,.341,.543,.522,.132
169,CHI,2021-11-15,.635,@,LAL,W 121-103,118.5,.124,.382,.645,.635,.090,100.9,.392,.405,.556,.494,.316
170,WAS,2021-11-27,.635,@,DAL,W 120-114,126.5,.333,.308,.671,.635,.269,120.2,.247,.427,.578,.551,.180
171,GSW,2022-01-01,.634,@,UTA,W 123-116,122.9,.244,.372,.646,.634,.163,115.9,.304,.478,.556,.511,.239
172,CHO,2021-12-05,.634,@,ATL,W 130-127,133.5,.326,.430,.661,.634,.244,130.4,.194,.398,.629,.608,.151
173,SAS,2022-01-25,.634,@,HOU,W 134-104,131.5,.059,.317,.646,.634,.059,102.1,.263,.358,.491,.458,.179
174,PHI,2022-03-02,.633,,NYK,W 123-108,125.6,.440,.480,.687,.633,.373,110.3,.352,.308,.514,.473,.242
175,SAS,2022-02-26,.633,@,MIA,L 129-133,122.9,.211,.344,.656,.633,.167,126.7,.458,.337,.667,.639,.325
176,DET,2022-01-23,.633,@,DEN,L 111-117,113.3,.253,.387,.666,.633,.213,119.5,.271,.412,.615,.588,.200
177,CHO,2022-02-25,.633,,TOR,W 125-93,126.5,.096,.426,.638,.633,.064,94.2,.274,.274,.494,.476,.155
